status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
81221197163_10155908531862164,"Comfort is the new luxury👌 Loving my new CR7 woven shirt. Styles for everyday. CR7.com 👔 💪@CR7Limitless #DesignedToMoveYou #CR7Denim

www.cr7.com",,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10155908528262164/?type=3,https://www.facebook.com/Cristiano/posts/10155908531862164,2017-10-30 13:00:00,264225,4063,1909,239627,22013,1640,694,59,192
81221197163_10155916330272164,Positive mind 👌✌️,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155916329582164/?type=3,https://www.facebook.com/Cristiano/posts/10155916330272164,2017-10-30 08:07:06,516883,9529,4311,466841,42532,2009,4671,287,543
81221197163_10155908665272164,"I vote for my hometown, Madeira, as the world's leading Island Destination 2017.  Are you with me? 

CLICK THE LINK BELLOW AND VOTE FOR MADEIRA  😉
http://bit.ly/voteformadeira
 
For more information about the Island @visitmadeiraofficial !",,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10155908662987164/?type=3,https://www.facebook.com/Cristiano/posts/10155908665272164,2017-10-28 05:00:00,87242,1570,740,81137,5524,445,98,17,21
81221197163_10155908922822164,Camo style! 👍🏼 CR7 Underwear #CR7Underwear,,video,https://www.facebook.com/Cristiano/videos/10155908922822164/,https://www.facebook.com/Cristiano/videos/10155908922822164/,2017-10-27 12:29:19,171957,3282,2196,153582,15470,2141,650,32,82
81221197163_10155908098752164,"Good times at my hotel in Lisbon!  
#PestanaCR7Lisbon",,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10155908097307164/?type=3,https://www.facebook.com/Cristiano/posts/10155908098752164,2017-10-27 06:30:00,424468,3326,1429,399747,22344,1808,447,47,76
81221197163_10155903285307164,"Ensinando aos meus 2 filhos com talento, trabalho e dedicação e a única forma de chegar a ser o número 1❤️❤️🇵🇹",,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155903285117164/?type=3,https://www.facebook.com/Cristiano/posts/10155903285307164,2017-10-25 13:08:02,1486858,18927,25237,1326692,135038,20425,4169,234,300
81221197163_10155902784617164,Not bad 11 😉😉😉😉😂😂,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155902784422164/?type=3,https://www.facebook.com/Cristiano/posts/10155902784617164,2017-10-25 09:36:32,774300,8977,10167,700924,58380,2550,12188,74,184
81221197163_10155900445467164,❤️,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155900444472164/?type=3,https://www.facebook.com/Cristiano/posts/10155900445467164,2017-10-24 14:08:39,1221058,15526,11010,1093765,118581,5917,1733,458,604
81221197163_10155899160127164,❤️❤️❤️❤️❤️❤️❤️,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155899159972164/?type=3,https://www.facebook.com/Cristiano/posts/10155899160127164,2017-10-24 04:36:01,681550,6969,4658,612956,65243,2408,662,77,204
81221197163_10155897568487164,"Amazing feeling to have won this award again. Want to dedicate to my family, my friends, my teammates and coaches from both Real Madrid and Portuguese NT and everyone who supported me.",,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155897567797164/?type=3,https://www.facebook.com/Cristiano/posts/10155897568487164,2017-10-23 16:16:53,1325732,35556,47390,1149899,164262,7432,2799,209,1131
81221197163_10155896815007164,Here we go again!!👍🏽,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155896814882164/?type=3,https://www.facebook.com/Cristiano/posts/10155896815007164,2017-10-23 10:42:28,336103,3880,1402,311377,22864,1280,474,37,71
81221197163_10155894665702164,"My Air Max 97 CR7's are available exclusively on the Nike SNEAKRS app today!
#Airmax #CR7
Go to Nike.com/SNEAKRS",Photos from Cristiano Ronaldo's post,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10155894664542164/?type=3,https://www.facebook.com/Cristiano/posts/10155894665702164,2017-10-23 02:00:00,218254,3475,2291,200564,14037,3219,287,86,61
81221197163_10155890758072164,👌,,video,https://www.facebook.com/Cristiano/videos/10155890758072164/,https://www.facebook.com/Cristiano/videos/10155890758072164/,2017-10-21 05:54:01,352428,5274,5571,309862,32952,8698,839,40,37
81221197163_10155883358722164,⚽️,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155883358577164/?type=3,https://www.facebook.com/Cristiano/posts/10155883358722164,2017-10-18 12:27:51,434534,5792,3095,391848,38554,1758,2113,85,176
81221197163_10155878517007164,Impossível ficar indiferente a esta tragédia. Solidário com familiares e amigos das vítimas. Apoio total aos bombeiros que arriscam a vida para ajudar da melhor forma possível.🙏🏽🇵🇹🇪🇸,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155878515022164/?type=3,https://www.facebook.com/Cristiano/posts/10155878517007164,2017-10-16 16:43:37,218408,2249,2798,190048,10498,466,135,17073,180
81221197163_10155877682192164,"Coming soon!!! Check out my Air Max 97 CR7 ! #AirMax #CR7

Download the Nike SNEAKRS App to find out more nike.com/SNEAKRS",,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10155877679457164/?type=3,https://www.facebook.com/Cristiano/posts/10155877682192164,2017-10-16 13:00:00,398991,6036,3112,369049,24987,3985,730,105,122
81221197163_10155877066777164,Having lunch in the best restaurant in town!👌🏽😍,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155877066127164/?type=3,https://www.facebook.com/Cristiano/posts/10155877066777164,2017-10-16 08:15:56,1595469,20785,5256,1497720,83642,9461,3319,580,683
81221197163_10155869407422164,It's already been one year that I opened my first two hotels ! It's time to celebrate! 🎂,,video,https://www.facebook.com/Cristiano/videos/10155869407422164/,https://www.facebook.com/Cristiano/videos/10155869407422164/,2017-10-15 12:30:00,115523,1257,1528,105362,9042,964,112,16,22
81221197163_10155874036777164,✌️,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155874036667164/?type=3,https://www.facebook.com/Cristiano/posts/10155874036777164,2017-10-15 06:00:26,602616,6693,5062,549712,48774,2950,858,91,188
81221197163_10155872067297164,Equipo👌👌vamos,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155872067187164/?type=3,https://www.facebook.com/Cristiano/posts/10155872067297164,2017-10-14 12:49:31,346466,3535,2822,314748,29446,924,1159,35,117
81221197163_10155869406262164,Happy to announce the #CR7Challenge winner. Congrats Daniel Nilsen - Football Freestyler ⚽️ 👍,,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10155869400567164/?type=3,https://www.facebook.com/Cristiano/posts/10155869406262164,2017-10-13 12:30:00,303976,2979,2969,277492,23183,2207,902,60,110
81221197163_10155867018502164,"Turning on the light.
You're about to get a glimpse of high-performance in digital!
#7egend",,video,https://www.facebook.com/Cristiano/videos/10155867018502164/,https://www.facebook.com/Cristiano/videos/10155867018502164/,2017-10-12 14:05:27,107605,1169,1253,96749,9703,938,158,20,34
81221197163_10155864048472164,"Motivation! I know how much this lifesaving bag of plasma can help people in need…share a selfie of you donating plasma and inspire others to donate! 
#IPAW2017 #BETHE1Donor ☝🏼
Learn more about lifesaving plasma donation at www.bethe1donor.com/learn",,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10155864048432164/?type=3,https://www.facebook.com/Cristiano/posts/10155864048472164,2017-10-11 12:30:46,287168,3817,3896,262227,22879,1590,340,71,60
81221197163_10155863281432164,"Great team effort! Thank you all for your support. Russia, here we come!!👍🏽🇵🇹",,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155863281332164/?type=3,https://www.facebook.com/Cristiano/posts/10155863281432164,2017-10-11 04:47:47,515051,5518,5280,469698,42465,1911,818,46,110
81221197163_10155858402837164,Ready 🇵🇹🇵🇹👌,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155858402752164/?type=3,https://www.facebook.com/Cristiano/posts/10155858402837164,2017-10-09 08:43:08,511889,5736,3402,471501,36502,905,2795,70,117
81221197163_10155855217077164,🇵🇹,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155855216997164/?type=3,https://www.facebook.com/Cristiano/posts/10155855217077164,2017-10-08 05:13:32,453664,4106,2441,416275,35043,1611,589,41,104
81221197163_10155852165302164,Old school 🇵🇹,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155852164982164/?type=3,https://www.facebook.com/Cristiano/posts/10155852165302164,2017-10-07 04:56:05,699416,5456,4278,651529,43968,2601,1085,90,143
81221197163_10155844386152164,THE FUTURE OF DENIM 👖💪 Shop my  #CR7Denim collection now on www.cr7.com CR7 Limitless #DesignedToMoveYou,CR7 Denim | The Future of Denim,video,https://www.youtube.com/watch?v=iUoZn3QkHxc&feature=youtu.be,https://www.facebook.com/Cristiano/posts/10155844386152164,2017-10-05 12:00:00,71114,961,380,66091,4601,333,55,14,20
81221197163_10155846592607164,🇵🇹🇵🇹✌️,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155846592427164/?type=3,https://www.facebook.com/Cristiano/posts/10155846592607164,2017-10-05 07:00:25,438006,4706,3072,399522,35646,2087,588,59,104
